City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-10-10 21:00:32,42.6001,-73.9662,66.63,79,95,6.55
1,Ambulu,ID,2021-10-10 21:05:06,-8.345,113.6058,74.53,84,89,3.44
2,Mar Del Plata,AR,2021-10-10 21:00:30,-38.0023,-57.5575,57.13,1,15,15.99
3,Kodiak,US,2021-10-10 21:00:50,57.79,-152.4072,43.88,60,100,4.85
4,Hilo,US,2021-10-10 21:05:07,19.7297,-155.09,80.28,91,90,8.05
5,Napasar,IN,2021-10-10 21:05:07,27.9667,73.55,85.55,37,0,13.65
6,Codrington,AU,2021-10-10 21:05:07,-38.2667,141.9667,48.2,71,83,9.86
7,Qaanaaq,GL,2021-10-10 21:05:07,77.484,-69.3632,29.5,89,100,8.43
8,East London,ZA,2021-10-10 21:00:19,-33.0153,27.9116,59.86,70,17,17.9
9,Atuona,PF,2021-10-10 21:05:08,-9.8,-139.0333,78.46,75,47,19.48
10,Homer,US,2021-10-10 21:05:08,59.6425,-151.5483,49.08,73,75,11.5
11,Ushuaia,AR,2021-10-10 21:04:37,-54.8,-68.3,51.42,40,40,20.71
12,Rikitea,PF,2021-10-10 21:05:09,-23.1203,-134.9692,74.62,80,97,19.73
13,Hermanus,ZA,2021-10-10 21:05:09,-34.4187,19.2345,65.89,67,98,7.85
14,Tiksi,RU,2021-10-10 21:05:09,71.6872,128.8694,29.01,98,100,6.44
15,Khatanga,RU,2021-10-10 21:05:10,71.9667,102.5,16.52,96,100,5.1
16,Cape Town,ZA,2021-10-10 21:05:10,-33.9258,18.4232,66.11,84,96,4.27
17,Russell,US,2021-10-10 21:05:10,32.3502,-85.1999,84.96,54,1,6.91
18,Kapaa,US,2021-10-10 21:05:11,22.0752,-159.319,82.38,69,40,7.0
19,Arraial Do Cabo,BR,2021-10-10 21:05:11,-22.9661,-42.0278,67.86,88,75,17.27
20,Kalianget,ID,2021-10-10 21:05:11,-7.05,113.9333,80.33,77,44,5.93
21,Clovis,US,2021-10-10 21:05:12,36.8252,-119.7029,81.12,40,1,3.0
22,Bethel,US,2021-10-10 21:05:12,41.3712,-73.414,64.04,88,90,3.0
23,Boguchany,RU,2021-10-10 21:05:12,58.3814,97.4531,30.27,93,100,5.41
24,Carnarvon,AU,2021-10-10 21:04:57,-24.8667,113.6333,65.5,70,0,18.79
25,College,US,2021-10-10 21:05:13,64.8569,-147.8028,37.35,95,90,5.75
26,Hobart,AU,2021-10-10 21:01:25,-42.8794,147.3294,46.11,79,20,1.99
27,Conceicao Do Araguaia,BR,2021-10-10 21:05:13,-8.2578,-49.2647,87.39,44,100,2.77
28,Finnsnes,NO,2021-10-10 21:05:14,69.2296,17.9811,46.76,93,100,4.38
29,Shalakusha,RU,2021-10-10 21:05:14,62.2247,40.2539,49.66,87,100,9.75
30,Chara,RU,2021-10-10 21:05:14,56.9064,118.2631,26.8,68,20,3.38
31,Kaitangata,NZ,2021-10-10 21:05:15,-46.2817,169.8464,52.77,72,100,3.6
32,Cherskiy,RU,2021-10-10 21:05:15,68.75,161.3,0.46,98,87,5.55
33,Severo-Kurilsk,RU,2021-10-10 21:05:15,50.6789,156.125,47.84,94,100,27.76
34,Butaritari,KI,2021-10-10 21:04:36,3.0707,172.7902,81.27,69,49,10.71
35,Dikson,RU,2021-10-10 21:05:16,73.5069,80.5464,29.88,66,100,22.55
36,Ballina,AU,2021-10-10 21:05:16,-28.8667,153.5667,69.78,76,58,8.39
37,Aasiaat,GL,2021-10-10 21:05:16,68.7098,-52.8699,30.61,74,100,3.8
38,Ilulissat,GL,2021-10-10 21:05:16,69.2167,-51.1,32.02,86,40,2.3
39,Javanrud,IR,2021-10-10 21:05:17,34.7961,46.5172,58.12,22,0,3.04
40,Makakilo City,US,2021-10-10 21:01:49,21.3469,-158.0858,80.69,64,75,10.36
41,Mataura,NZ,2021-10-10 21:05:17,-46.1927,168.8643,47.48,88,100,2.59
42,Edea,CM,2021-10-10 21:05:18,3.8,10.1333,73.44,97,99,1.79
43,Pangnirtung,CA,2021-10-10 21:05:18,66.1451,-65.7125,36.36,69,100,3.69
44,Busselton,AU,2021-10-10 21:05:18,-33.65,115.3333,55.09,73,96,15.12
45,Thompson,CA,2021-10-10 21:05:19,55.7435,-97.8558,59.32,41,100,6.51
46,Port Elizabeth,ZA,2021-10-10 21:04:38,-33.918,25.5701,61.09,72,40,17.27
47,Castro,BR,2021-10-10 21:01:08,-24.7911,-50.0119,57.63,93,100,9.22
48,Hithadhoo,MV,2021-10-10 21:04:52,-0.6,73.0833,82.67,68,98,13.24
49,Trujillo,PE,2021-10-10 21:05:19,-8.116,-79.03,60.76,88,90,11.5
50,Nautla,MX,2021-10-10 21:05:20,20.2167,-96.7833,86.56,67,6,15.9
51,Te Anau,NZ,2021-10-10 21:05:20,-45.4167,167.7167,40.69,98,100,2.39
52,Iqaluit,CA,2021-10-10 21:05:20,63.7506,-68.5145,35.26,80,46,0.6
53,Meulaboh,ID,2021-10-10 21:05:21,4.1363,96.1285,76.15,88,100,3.29
54,Ingham,US,2021-10-10 21:05:21,42.6,-84.3833,81.0,77,40,11.5
55,Naantali,FI,2021-10-10 21:05:22,60.4674,22.0243,53.11,82,20,11.5
56,Banepa,NP,2021-10-10 21:05:22,27.6298,85.5214,66.52,94,20,0.0
57,Airai,TL,2021-10-10 21:05:22,-8.9266,125.4092,60.84,69,100,1.25
58,Bredasdorp,ZA,2021-10-10 21:05:23,-34.5322,20.0403,62.28,83,70,2.8
59,Jamestown,US,2021-10-10 21:04:51,42.097,-79.2353,72.99,72,40,5.99
60,Vostok,RU,2021-10-10 21:05:23,46.4856,135.8833,37.0,88,100,14.92
61,Jawhar,SO,2021-10-10 21:05:23,2.7809,45.5005,77.11,83,7,11.54
62,Punta Arenas,CL,2021-10-10 21:01:11,-53.15,-70.9167,51.12,37,15,27.31
63,Kralendijk,BQ,2021-10-10 21:05:24,12.15,-68.2667,84.18,74,0,8.05
64,Yining,CN,2021-10-10 21:05:24,29.0361,114.5636,60.71,88,100,4.56
65,Vaini,TO,2021-10-10 21:04:34,-21.2,-175.2,77.16,83,75,4.61
66,Laguna,US,2021-10-10 21:05:25,38.421,-121.4238,81.88,35,1,3.0
67,Lebu,CL,2021-10-10 21:05:25,-37.6167,-73.65,54.75,74,12,11.74
68,Mlowo,TZ,2021-10-10 21:05:25,-9.0,32.9833,63.91,54,25,5.48
69,Alta Floresta,BR,2021-10-10 21:05:26,-9.8756,-56.0861,87.48,43,90,1.21
70,Jiuquan,CN,2021-10-10 21:05:26,39.7432,98.5174,39.24,24,0,3.29
71,Esperance,AU,2021-10-10 21:05:26,-33.8667,121.9,58.39,43,100,19.95
72,San Jose De Guanipa,VE,2021-10-10 21:05:26,8.8872,-64.1651,85.8,59,99,3.69
73,Umm Kaddadah,SD,2021-10-10 21:05:27,13.6017,26.6876,93.33,17,83,11.25
74,Atar,MR,2021-10-10 21:05:27,20.5169,-13.0499,88.3,18,1,4.83
75,Roald,NO,2021-10-10 21:05:28,62.5833,6.1333,51.17,87,75,11.5
76,Pastavy,BY,2021-10-10 21:05:28,55.1168,26.8326,37.6,82,5,6.67
77,Mujiayingzi,CN,2021-10-10 21:05:28,42.1167,118.7833,39.6,46,0,6.64
78,Suarez,CO,2021-10-10 21:05:28,2.954,-76.6964,73.09,91,88,4.85
79,Hualmay,PE,2021-10-10 21:05:29,-11.0964,-77.6139,66.78,79,49,9.84
80,Arapongas,BR,2021-10-10 21:05:29,-23.4194,-51.4244,66.87,87,96,13.42
81,Sitka,US,2021-10-10 21:05:29,57.0531,-135.33,51.69,71,20,4.61
82,Vila Velha,BR,2021-10-10 21:05:30,-20.3297,-40.2925,69.75,94,90,4.61
83,Lichinga,MZ,2021-10-10 21:05:30,-13.3128,35.2406,69.15,42,83,3.89
84,Pascagoula,US,2021-10-10 21:05:30,30.3658,-88.5561,88.05,64,1,10.36
85,Ushtobe,KZ,2021-10-10 21:05:31,45.2514,77.9838,46.24,58,100,15.46
